,COLLEGE,OVERALL,OFFENSE,DEFENSE,SPECIAL,YEAR
1592,ECU,19.1,44.2,9.7,48.6,2017
1593,KU,16.0,19.5,27.0,33.4,2017
1594,TXST,13.9,17.8,25.4,30.7,2017
1595,SJSU,11.8,10.7,23.3,51.7,2017
1596,KENT,11.8,9.0,27.6,49.5,2017
1597,CHAR,10.5,11.0,18.5,59.2,2017
1598,BALL,10.0,21.5,13.2,29.0,2017
1599,RICE,9.9,18.4,13.9,39.8,2017
1600,UTEP,9.1,7.3,23.7,42.6,2017
1601,ALA,96.9,96.6,88.4,49.4,2018
1602,UGA,93.2,91.6,83.7,53.8,2018
1603,CLEM,90.8,81.6,92.3,33.7,2018
1604,MICH,83.6,74.0,82.8,54.0,2018
1605,OKLA,83.3,96.6,41.1,62.3,2018
1606,ND,81.9,71.6,80.3,54.2,2018
1607,LSU,79.7,67.5,80.4,57.1,2018
1608,OSU,79.5,81.1,61.3,64.1,2018
1609,MIZ,78.9,73.8,77.1,43.1,2018
1610,WASH,78.7,71.7,77.6,42.7,2018
1611,WVU,78.6,80.5,62.1,60.6,2018
1612,MSST,78.5,66.5,83.1,36.4,2018
1613,FRES,77.6,65.2,79.2,54.3,2018
1614,FLA,76.3,68.5,74.9,52.2,2018
1615,UTAH,75.9,60.1,79.6,58.8,2018
1616,IOWA,75.6,62.2,79.7,52.2,2018
1617,PSU,74.0,62.3,73.7,59.7,2018
1618,USU,74.0,66.7,71.5,54.8,2018
1619,WSU,73.6,81.4,51.9,53.2,2018
1620,STAN,73.5,72.3,62.4,64.3,2018
1621,UCF,72.8,77.3,57.3,55.4,2018
1622,SYR,72.7,59.5,72.4,68.8,2018
1623,TEX,70.8,70.3,63.0,51.7,2018
1624,UK,70.7,56.0,75.6,53.6,2018
1625,TA&M,70.1,68.9,55.3,70.3,2018
1626,AUB,70.0,53.6,75.4,55.7,2018
1627,NCST,69.9,75.0,57.0,44.6,2018
1628,ORE,69.2,70.3,62.0,47.0,2018
1629,CIN,68.7,51.4,80.6,44.5,2018
1630,BSU,68.4,67.0,64.3,45.1,2018
1631,SC,67.9,71.2,56.3,57.4,2018
1632,APP,67.8,50.4,76.1,54.5,2018
1633,PUR,67.0,72.3,52.3,60.3,2018
1634,MIAMI,65.6,42.3,84.2,36.5,2018
1635,MSU,64.2,35.3,87.6,39.5,2018
1636,PITT,63.4,65.5,56.5,49.9,2018
1637,UVA,63.3,54.4,67.5,48.5,2018
1638,BC,62.9,50.3,67.4,57.6,2018
1639,ASU,62.4,71.8,48.2,49.0,2018
1640,TEM,62.2,52.6,62.4,63.1,2018
1641,OKST,62.2,72.4,45.8,50.2,2018
1642,ISU,62.1,56.1,65.9,42.6,2018
1643,DUKE,61.4,55.9,60.7,55.6,2018
1644,TCU,61.3,41.4,77.0,42.5,2018
1645,VAN,61.0,64.1,53.8,50.6,2018
1646,MEM,60.9,71.0,45.3,52.6,2018
1647,BUFF,60.4,74.8,42.7,36.2,2018
1648,WIS,60.4,58.9,59.9,44.4,2018
1649,NW,60.2,45.6,70.5,50.9,2018
1650,GT,59.1,70.9,38.1,59.7,2018
1651,MD,58.6,53.7,57.6,57.2,2018
1652,BYU,57.8,45.2,60.6,69.5,2018
1653,TTU,57.0,55.2,52.6,60.9,2018
1654,CAL,56.5,27.9,80.7,53.0,2018
1655,USC,56.1,49.9,59.5,50.4,2018
1656,ARMY,55.4,57.4,50.1,49.6,2018
1657,HOU,55.4,69.9,40.3,49.3,2018
1658,OHIO,55.0,75.8,27.1,64.8,2018
1659,MINN,54.9,45.0,60.0,59.5,2018
1660,GASO,54.1,48.7,50.8,69.5,2018
1661,WAKE,53.4,55.5,47.4,56.7,2018
1662,NEB,53.3,60.2,44.8,51.5,2018
1663,COLO,53.2,49.4,58.9,41.0,2018
1664,UAB,53.2,45.1,62.8,43.6,2018
1665,IND,53.1,57.9,48.3,45.1,2018
1666,TROY,52.7,34.7,59.7,75.6,2018
1667,TENN,52.1,41.7,59.6,53.9,2018
1668,UNT,51.5,50.3,50.8,53.9,2018
1669,TOL,50.8,57.7,34.9,75.1,2018
1670,MTSU,50.8,45.8,56.8,46.3,2018
1671,KSU,50.7,47.1,51.3,58.9,2018
1672,MISS,49.9,71.3,32.6,41.3,2018
1673,VT,49.9,57.8,40.7,53.6,2018
1674,BAY,49.6,60.2,36.9,54.0,2018
1675,EMU,48.5,34.4,62.7,49.9,2018
1676,ARKST,48.0,48.8,46.5,53.7,2018
1677,ARIZ,47.5,57.5,42.0,40.7,2018
1678,NIU,47.4,26.6,65.9,59.4,2018
1679,MRSH,47.1,29.0,62.4,59.9,2018
1680,UCLA,46.8,55.4,43.5,38.7,2018
1681,AFA,46.4,56.3,37.8,47.2,2018
1682,NEV,45.8,34.3,60.3,47.0,2018
1683,FSU,45.2,29.5,63.2,44.7,2018
1684,M-OH,45.1,47.2,44.7,50.7,2018
1685,FIU,44.4,60.9,29.7,54.6,2018
1686,WYO,44.3,23.6,67.4,52.3,2018
1687,TULN,43.0,35.1,50.0,59.2,2018
1688,UNC,42.1,44.9,39.6,58.1,2018
1689,USF,41.1,37.5,47.1,51.7,2018
1690,SDSU,40.9,27.5,57.4,53.4,2018
1691,USM,40.7,20.8,68.8,56.0,2018
1692,ULL,40.0,66.6,21.5,46.4,2018
1693,FAU,39.6,44.6,41.3,40.8,2018
1694,SMU,39.2,30.0,51.8,52.3,2018
1695,KU,39.0,33.0,50.1,47.4,2018
1696,LT,37.7,38.3,41.8,49.6,2018
1697,WMU,34.5,53.5,27.6,28.3,2018
1698,ARK,33.8,28.4,46.8,45.9,2018
1699,HAW,31.6,49.8,22.6,46.6,2018
1700,ILL,31.3,48.9,21.8,54.0,2018
1701,LIB,29.3,36.4,33.2,38.1,2018
1702,WKU,28.4,23.6,49.2,29.6,2018
1703,ULM,28.3,40.9,27.8,38.0,2018
1704,NAVY,28.2,38.6,25.9,51.4,2018
1705,AKRON,28.1,14.4,46.8,62.7,2018
1706,TLSA,28.0,25.3,42.4,40.2,2018
1707,BALL,27.1,41.1,24.1,44.4,2018
1708,ORST,27.1,50.0,15.9,50.1,2018
1709,UNLV,26.8,39.4,29.2,29.3,2018
1710,CHAR,26.0,28.4,37.8,34.3,2018
1711,UNM,25.6,20.7,35.3,61.2,2018
1712,ODU,25.3,35.5,21.5,60.7,2018
1713,CCU,24.8,45.9,15.3,49.9,2018
1714,SJSU,24.4,17.9,36.5,61.6,2018
1715,RUTG,23.7,14.4,42.8,51.9,2018
1716,KENT,22.0,24.0,31.2,44.7,2018
1717,ECU,21.9,22.8,35.3,37.3,2018
1718,CMU,21.5,8.4,52.7,46.0,2018
1719,CSU,20.7,33.7,23.1,29.8,2018
1720,LOU,20.4,26.7,20.6,63.5,2018
1721,BGSU,20.0,32.5,17.3,53.5,2018
1722,TXST,19.8,14.4,43.2,29.9,2018
1723,UMASS,19.5,35.1,18.4,35.3,2018
1724,USA,16.8,27.5,16.4,51.4,2018
1725,UTSA,15.7,10.1,31.3,57.1,2018
1726,NMSU,15.3,19.3,24.0,38.9,2018
1727,GAST,14.6,33.0,11.0,45.2,2018
1728,RICE,10.6,9.9,19.5,60.8,2018
1729,UTEP,10.2,10.6,23.1,39.3,2018
1730,UCONN,8.2,37.8,2.4,53.0,2018
1731,OSU,96.6,95.3,87.9,55.3,2019
1732,LSU,95.2,97.2,79.6,43.1,2019
1733,CLEM,94.5,89.1,93.3,37.3,2019
1734,ALA,92.7,94.4,80.3,42.5,2019
1735,WIS,86.2,78.7,83.3,50.8,2019
1736,UGA,85.8,69.4,88.9,53.9,2019
1737,FLA,83.1,76.7,76.8,60.4,2019
1738,PSU,83.1,76.6,73.2,74.2,2019
1739,UTAH,82.7,72.8,84.2,40.9,2019
1740,OKLA,82.4,89.1,60.5,48.6,2019
1741,ORE,82.2,69.6,82.7,52.9,2019
1742,AUB,81.9,58.6,88.4,56.2,2019
1743,ND,80.8,66.3,84.2,50.8,2019
1744,UCF,77.4,73.9,74.6,41.1,2019
1745,MICH,76.2,69.3,72.7,55.1,2019
1746,BAY,76.1,61.9,81.5,42.4,2019
1747,IOWA,75.4,54.7,78.4,73.4,2019
1748,WASH,75.3,58.2,77.0,68.7,2019
1749,MINN,74.5,80.4,63.1,30.3,2019
1750,MEM,71.0,76.1,49.1,74.2,2019
1751,AFA,70.9,69.4,63.2,52.8,2019
1752,NAVY,70.2,77.4,56.9,38.7,2019
1753,APP,69.5,60.6,70.4,53.7,2019
1754,TEX,69.0,72.7,57.6,49.3,2019
1755,TA&M,68.8,60.9,67.8,58.1,2019
1756,USC,68.1,76.0,55.9,39.5,2019
1757,BSU,67.6,61.1,66.7,54.0,2019
1758,OKST,67.4,64.4,63.5,52.4,2019
1759,IND,66.4,72.0,54.4,47.9,2019
1760,KSU,66.2,54.8,65.9,66.9,2019
1761,CIN,63.9,47.3,69.9,63.1,2019
1762,UK,63.2,54.0,65.9,55.8,2019
1763,ISU,62.1,60.2,64.1,37.3,2019
1764,UL,61.9,70.3,45.2,58.5,2019
1765,UNC,61.9,69.0,51.1,45.1,2019
1766,UVA,61.8,60.9,52.0,67.3,2019
1767,TENN,61.3,49.3,66.0,57.3,2019
1768,LOU,61.1,71.7,44.6,52.6,2019
1769,SMU,61.1,66.2,51.8,48.9,2019
1770,WSU,60.5,80.9,31.9,54.0,2019
1771,FAU,60.4,54.2,63.0,50.0,2019
1772,ASU,60.0,43.3,65.0,69.4,2019
1773,MIZ,59.3,47.9,69.4,46.2,2019
1774,TCU,59.3,42.7,72.2,54.1,2019
1775,CAL,59.3,50.5,66.3,40.8,2019
1776,MSU,59.0,46.9,71.2,39.4,2019
1777,VT,58.9,52.3,58.7,59.9,2019
1778,SC,57.8,37.3,73.7,52.5,2019
1779,TULN,56.0,56.6,53.5,48.1,2019
1780,ORST,55.5,67.6,39.5,56.2,2019
1781,MSST,54.4,58.3,51.2,42.5,2019
1782,SDSU,54.4,28.7,74.3,69.0,2019
1783,TTU,54.2,61.1,43.0,56.2,2019
1784,MIA,54.2,39.4,68.1,44.3,2019
1785,BYU,54.1,49.5,57.1,50.6,2019
1786,WYO,53.3,42.0,60.8,53.9,2019
1787,FSU,52.3,47.1,57.3,46.3,2019
1788,WAKE,51.3,53.6,52.4,38.9,2019
1789,MISS,51.3,49.9,51.2,53.1,2019
1790,NEB,51.2,48.4,59.0,35.0,2019
1791,DUKE,51.1,27.4,67.3,70.9,2019
1792,BUFF,51.1,44.3,68.0,24.1,2019
1793,BC,51.0,63.6,41.0,40.5,2019
1794,PITT,50.0,34.9,70.3,36.8,2019
1795,WKU,49.2,41.7,58.6,46.4,2019
1796,WVU,47.5,36.0,56.3,58.4,2019
1797,LAT,47.3,42.8,56.0,40.3,2019
1798,USU,47.2,40.1,54.3,52.3,2019
1799,HOU,46.8,47.1,40.5,69.4,2019
1800,ILL,46.4,33.5,54.6,65.6,2019
1801,COLO,46.3,57.5,37.1,45.5,2019
1802,STAN,46.1,51.3,40.8,55.8,2019
1803,WMU,45.7,57.1,41.8,32.2,2019
1804,TEM,45.7,34.8,61.8,38.3,2019
1805,TLSA,45.4,41.0,58.2,34.7,2019
1806,UCLA,45.0,47.6,41.2,59.6,2019
1807,HAW,44.8,60.2,33.8,42.4,2019
1808,FRES,44.7,48.9,43.6,47.4,2019
1809,GASO,44.2,30.1,51.1,74.4,2019
1810,OHIO,44.1,62.0,28.9,52.7,2019
1811,M-OH,43.9,26.2,54.7,73.3,2019
1812,SYR,43.7,36.0,51.0,60.2,2019
1813,PUR,42.9,51.7,40.5,39.6,2019
1814,ARST,42.6,44.5,41.7,55.8,2019
1815,CMU,42.6,46.3,45.1,39.3,2019
1816,MRSH,42.0,34.2,48.9,61.8,2019
1817,ARIZ,41.5,54.9,40.9,24.3,2019
1818,LIB,41.4,56.2,35.8,36.3,2019
1819,BALL,40.3,47.7,42.6,31.9,2019
1820,NW,40.3,23.5,61.9,56.5,2019
1821,USM,40.2,34.5,47.6,57.8,2019
1822,MD,38.9,29.7,45.9,67.3,2019
1823,UAB,38.3,27.2,54.4,49.9,2019
1824,EMU,38.2,49.4,31.4,52.8,2019
1825,GAST,37.6,60.9,23.6,35.9,2019
1826,KENT,37.4,52.3,23.0,71.7,2019
1827,SJSU,37.0,54.8,30.6,36.5,2019
1828,FIU,35.5,39.2,37.1,50.1,2019
1829,ARMY,35.3,38.2,39.0,47.6,2019
1830,ULM,33.8,56.7,25.5,29.2,2019
1831,USF,33.8,26.4,50.7,37.4,2019
1832,KU,33.7,45.7,32.0,42.1,2019
1833,NIU,33.7,28.5,43.3,56.6,2019
1834,CSU,33.0,36.9,41.5,31.8,2019
1835,NCST,31.7,25.3,43.6,55.3,2019
1836,CLT,31.6,54.0,22.7,33.0,2019
1837,TROY,31.4,56.5,21.2,31.7,2019
1838,TOL,30.7,43.5,25.6,51.2,2019
1839,MTSU,29.9,46.7,25.1,41.3,2019
1840,ARK,29.8,31.9,34.6,50.8,2019
1841,CCU,28.7,34.4,27.3,61.5,2019
1842,NEV,28.5,25.2,43.3,44.5,2019
1843,VAN,28.3,30.2,28.8,66.8,2019
1844,UNT,27.7,31.9,27.3,63.2,2019
1845,RICE,27.4,23.1,35.8,63.1,2019
1846,GT,27.2,27.1,34.6,49.7,2019
1847,UNLV,27.1,30.2,35.5,37.9,2019
1848,ECU,24.7,38.7,21.7,44.1,2019
1849,TXST,20.9,14.4,36.1,57.0,2019
1850,USA,20.1,15.9,37.7,40.8,2019
1851,RUTG,17.8,17.3,26.4,57.2,2019
1852,UTSA,16.7,20.8,23.8,44.3,2019
1853,UNM,15.7,23.7,17.5,53.7,2019
1854,NMSU,14.1,19.8,19.8,43.3,2019
1855,ODU,13.8,9.3,31.1,55.8,2019
1856,BGSU,10.3,10.6,21.1,54.3,2019
1857,CONN,9.8,17.2,12.5,49.9,2019
1858,UTEP,7.3,17.6,9.2,37.1,2019
1859,AKR,4.2,2.3,21.1,39.0,2019
1860,MASS,2.0,10.1,2.0,51.5,2019
