,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,QBR_SACK,PEN,RAW,OVERALL,OFFENSE,DEFENSE,SPECIAL,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,TOTAL_SACKS,RTG,RATT,RYDS,RAVG,RLNG,RTD,AGE,DRAFTED
214,Jeremy Young,C-USA,2006.0,53.2,2.2,410.0,19.0,25.6,4.1,-12.0,1.3,51.4,61.3,50.7,66.7,52.8,161.0,281.0,57.3,1769.0,6.3,54.0,12.0,6.0,19.0,120.0,81.0,224.0,2.8,34.0,4.0,0.0,
215,Will Proctor,ACC,2006.0,53.0,-6.4,398.0,10.9,27.0,-5.1,-11.0,-0.1,45.9,70.4,69.1,72.2,27.2,183.0,304.0,60.2,2353.0,7.7,82.0,16.0,11.0,15.0,135.3,,,,,,0.0,
216,Martin Hankins,American,2006.0,52.4,10.3,442.0,26.8,33.8,-0.9,-8.4,2.2,56.0,25.7,45.4,20.0,39.6,226.0,377.0,59.9,2550.0,6.8,82.0,18.0,13.0,13.0,125.6,,,,,,0.0,
217,Matthew Stafford,SEC,2006.0,52.0,-8.3,333.0,6.7,10.7,7.8,-10.5,-1.5,43.5,63.2,44.8,75.4,49.0,135.0,256.0,52.7,1749.0,6.8,53.0,7.0,13.0,12.0,109.0,,,,,,18.0,1.0
218,Curtis Painter,BIG10,2006.0,51.9,7.5,654.0,32.9,40.6,2.8,-13.2,2.7,53.0,47.7,60.4,42.1,32.3,315.0,530.0,59.4,4015.0,7.6,88.0,22.0,19.0,20.0,129.6,,,,,,21.0,1.0
219,Patrick Cowan,PAC-12,2006.0,51.6,-17.1,368.0,0.5,9.1,-1.5,-8.6,1.7,38.2,63.1,47.3,71.8,53.3,145.0,276.0,52.5,1782.0,6.5,78.0,11.0,9.0,13.0,113.4,,,,,,20.0,
220,Adam Tafralis,MTN-WEST,2006.0,51.1,11.2,392.0,26.3,42.5,-1.1,-11.8,-3.3,57.4,47.3,49.9,47.3,45.2,181.0,276.0,65.6,2284.0,8.3,85.0,21.0,7.0,19.0,155.1,89.0,230.0,2.6,27.0,2.0,0.0,
221,Shaun Carney,MTN-WEST,2006.0,50.8,1.2,353.0,15.7,21.0,2.7,-11.8,3.8,50.9,39.9,64.1,22.9,40.1,82.0,137.0,59.9,1192.0,8.7,45.0,12.0,3.0,19.0,157.5,188.0,618.0,3.3,39.0,8.0,0.0,
222,Steven Moffett,American,2006.0,50.8,-0.8,263.0,10.0,21.2,-0.8,-8.9,-1.5,49.2,29.3,40.1,26.1,49.2,119.0,215.0,55.3,1385.0,6.4,40.0,8.0,5.0,13.0,117.1,,,,,,0.0,
223,Mike Teel,BIG10,2006.0,50.3,-3.8,346.0,9.9,16.9,-0.9,-6.0,0.2,47.1,80.1,64.6,82.5,56.9,164.0,296.0,55.4,2135.0,7.2,74.0,12.0,13.0,7.0,120.6,,,,,,20.0,1.0
224,Kellen Lewis,BIG10,2006.0,50.1,-1.3,500.0,17.7,22.3,8.0,-12.6,0.3,49.3,36.1,36.3,37.0,61.2,190.0,346.0,54.9,2221.0,6.4,55.0,14.0,7.0,21.0,118.1,124.0,441.0,3.6,62.0,5.0,0.0,
225,Shawn Bell,BIG12,2006.0,50.0,-6.2,455.0,13.2,31.6,-3.1,-15.0,0.1,46.5,38.5,39.7,41.1,50.6,241.0,383.0,62.9,2582.0,6.7,79.0,19.0,10.0,21.0,130.7,,,,,,0.0,
226,James Pinkney,American,2006.0,49.1,3.2,537.0,26.2,44.1,-3.3,-17.3,3.0,51.5,51.3,46.1,56.3,49.9,232.0,397.0,58.4,2783.0,7.0,57.0,12.0,10.0,25.0,122.3,105.0,216.0,2.1,34.0,4.0,0.0,
227,Bret Meyer,BIG12,2006.0,49.0,-10.9,556.0,12.5,25.8,6.2,-20.0,0.1,44.9,31.5,52.8,20.8,46.7,211.0,374.0,56.4,2546.0,6.8,44.0,12.0,12.0,37.0,117.8,,,,,,0.0,
228,Caleb Jeffrey Hanie,MTN-WEST,2006.0,47.7,1.0,485.0,20.4,39.7,4.1,-24.2,0.8,50.5,39.5,43.6,41.4,43.6,209.0,342.0,61.1,2427.0,7.1,83.0,11.0,12.0,37.0,124.3,,,,,,21.0,
229,Joe Dailey,ACC,2006.0,47.0,-13.1,259.0,-0.6,9.8,-5.1,-4.5,-0.6,37.1,28.7,39.7,24.3,57.3,112.0,195.0,57.4,1316.0,6.7,83.0,7.0,10.0,9.0,115.7,,,,,,0.0,
230,Nate Davis,MAC,2006.0,46.9,-1.6,297.0,10.3,23.2,-5.1,-10.0,2.2,48.6,40.4,50.5,29.0,68.3,150.0,244.0,61.5,1975.0,8.1,81.0,18.0,8.0,13.0,147.3,,,,,,19.0,1.0
231,Sean Glennon,ACC,2006.0,44.9,-24.2,408.0,-3.8,18.1,-0.8,-23.0,2.0,35.1,75.4,46.2,87.3,62.6,170.0,302.0,56.3,2191.0,7.3,60.0,11.0,11.0,29.0,122.0,,,,,,21.0,
232,Reggie Ball,ACC,2006.0,44.9,-19.9,464.0,2.2,1.0,9.7,-14.0,5.8,39.0,65.1,53.9,70.9,48.1,135.0,304.0,44.4,1820.0,6.0,66.0,20.0,14.0,19.0,107.2,122.0,354.0,2.9,28.0,2.0,22.0,
233,Julian Edelman,MAC,2006.0,44.7,14.3,461.0,30.1,21.4,19.5,-11.9,1.1,58.0,38.9,30.9,59.3,28.0,134.0,242.0,55.4,1859.0,7.7,68.0,10.0,11.0,24.0,124.4,169.0,665.0,3.9,33.0,7.0,20.0,1.0
234,Rudy Carpenter,PAC-12,2006.0,44.7,-20.7,473.0,1.6,28.9,-5.0,-19.8,-2.4,38.8,59.8,57.7,57.4,52.7,184.0,332.0,55.4,2523.0,7.6,62.0,23.0,14.0,37.0,133.7,,,,,,20.0,
235,Dustin Grutza,American,2006.0,44.0,-16.5,343.0,0.0,16.2,0.1,-15.3,-1.1,37.8,56.7,41.0,70.5,47.6,137.0,225.0,60.9,1632.0,7.3,51.0,9.0,13.0,24.0,123.5,85.0,246.0,2.9,29.0,0.0,0.0,
236,Daniel Evans,ACC,2006.0,43.6,-21.5,386.0,-2.6,9.5,-1.7,-9.6,-0.6,35.9,40.1,33.7,50.7,48.9,163.0,307.0,53.1,1843.0,6.0,41.0,6.0,11.0,14.0,102.8,,,,,,0.0,
237,Lester Ricard,American,2006.0,43.6,-3.9,489.0,15.6,33.9,-0.7,-15.8,-1.7,47.9,28.5,36.9,37.5,20.2,229.0,400.0,57.3,2795.0,7.0,55.0,18.0,10.0,25.0,125.8,,,,,,23.0,
238,Phil Horvath,MAC,2006.0,43.5,-1.9,331.0,11.3,22.6,-2.0,-10.6,1.5,48.5,45.9,48.6,40.7,62.7,157.0,269.0,58.4,1932.0,7.2,65.0,11.0,9.0,18.0,125.5,,,,,,23.0,
239,Anthony Morelli,BIG10,2006.0,43.0,-20.8,470.0,1.5,17.3,-3.2,-15.9,3.3,38.7,67.2,43.0,80.0,57.7,208.0,386.0,53.9,2424.0,6.3,56.0,11.0,8.0,19.0,111.9,,,,,,21.0,
240,Kyle Wright,ACC,2006.0,42.8,-14.2,333.0,1.6,17.5,-1.7,-14.6,0.3,39.1,51.3,39.1,67.3,39.6,152.0,250.0,60.8,1655.0,6.6,51.0,8.0,7.0,19.0,121.4,,,,,,22.0,
241,Anthony Turner,MAC,2006.0,41.3,-1.8,414.0,16.0,19.0,2.2,-6.8,0.9,48.8,25.6,42.3,25.6,22.1,144.0,252.0,57.1,1596.0,6.3,59.0,11.0,5.0,12.0,120.8,141.0,482.0,3.4,31.0,5.0,0.0,
242,Bernard Morris,C-USA,2006.0,41.1,-5.0,299.0,8.1,16.7,2.0,-10.4,-0.2,45.6,38.6,55.4,33.0,34.6,116.0,188.0,61.7,1346.0,7.2,75.0,8.0,12.0,14.0,123.1,82.0,324.0,4.0,42.0,2.0,0.0,
243,Mike Kokal,MAC,2006.0,40.5,-5.9,527.0,18.3,31.0,11.5,-25.1,1.0,47.1,29.1,33.9,37.1,33.6,208.0,355.0,58.6,2419.0,6.8,80.0,14.0,8.0,43.0,124.3,136.0,277.0,2.0,36.0,3.0,0.0,
244,Omar Haugabook,SUN-BELT,2006.0,40.2,-14.2,572.0,11.3,21.8,9.9,-18.9,-1.5,43.6,36.4,35.1,38.0,64.3,241.0,393.0,61.3,2401.0,6.1,70.0,21.0,17.0,28.0,121.6,140.0,313.0,2.2,29.0,5.0,0.0,
245,Bernard Jackson,PAC-12,2006.0,39.2,-30.8,403.0,-9.7,-1.0,9.1,-16.3,-1.4,31.1,36.3,34.4,47.0,36.8,108.0,219.0,49.3,1298.0,5.9,63.0,7.0,7.0,27.0,103.3,155.0,672.0,4.3,62.0,7.0,0.0,
246,Tom Brandstater,MTN-WEST,2006.0,36.4,-10.2,326.0,4.8,8.7,1.0,-5.4,0.5,42.0,32.0,40.6,34.3,36.5,146.0,268.0,54.5,1490.0,5.6,75.0,13.0,14.0,6.0,106.7,,,,,,22.0,1.0
247,Ryan Cubit,MAC,2006.0,35.4,-17.8,438.0,2.9,21.4,-4.8,-12.0,-1.8,39.6,44.2,30.5,65.5,42.4,224.0,365.0,61.4,2138.0,5.9,81.0,16.0,13.0,13.0,117.9,,,,,,0.0,
248,Karsten Sween,MTN-WEST,2006.0,35.2,-16.5,295.0,-1.9,17.1,-3.6,-15.9,0.5,35.9,47.2,36.9,68.1,29.5,128.0,212.0,60.4,1304.0,6.2,44.0,9.0,8.0,24.0,118.5,,,,,,0.0,
249,Luke Getsy,MAC,2006.0,35.2,-34.7,509.0,-8.0,12.0,1.9,-19.9,-2.1,33.0,34.5,40.4,40.1,31.8,199.0,380.0,52.4,2662.0,7.0,77.0,18.0,11.0,31.0,121.1,,,,,,22.0,
250,Jameel Sewell,ACC,2006.0,34.9,-32.9,366.0,-11.6,4.0,2.7,-17.1,-1.0,28.2,43.6,27.4,61.2,52.3,143.0,247.0,57.9,1342.0,5.4,51.0,5.0,6.0,28.0,105.4,,,,,,0.0,
251,Clint Marks,C-USA,2006.0,34.1,-16.4,362.0,0.8,18.7,-1.4,-16.2,-0.3,38.4,39.2,31.8,46.8,61.9,171.0,283.0,60.4,1917.0,6.8,73.0,8.0,9.0,26.0,120.3,,,,,,0.0,
252,Josh Freeman,BIG12,2006.0,34.0,-32.7,358.0,-11.9,2.6,1.8,-15.4,-0.8,27.9,45.2,25.5,55.2,78.8,140.0,270.0,51.9,1780.0,6.6,80.0,6.0,15.0,25.0,103.5,,,,,,18.0,1.0
