,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,QBR_SACK,PEN,RAW,OVERALL,OFFENSE,DEFENSE,SPECIAL,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,TOTAL_SACKS,RTG,RATT,RYDS,RAVG,RLNG,RTD,AGE,DRAFTED
520,Greg McElroy,SEC,2009.0,72.1,13.6,418.0,30.3,38.9,-0.1,-10.7,2.2,58.4,89.3,77.3,89.9,55.9,198.0,325.0,60.9,2508.0,7.7,80.0,17.0,4.0,18.0,140.5,,,,,,21.0,1.0
521,Ryan Mallett,SEC,2009.0,72.0,15.2,506.0,32.7,50.1,-1.8,-15.6,0.1,57.8,73.6,76.4,64.3,46.3,225.0,403.0,55.8,3627.0,9.0,83.0,30.0,7.0,24.0,152.5,,,,,,2009.0,1.0
522,Kellen Moore,MTN-WEST,2009.0,70.5,52.9,508.0,62.0,68.3,-6.2,-3.7,3.4,74.7,82.9,72.7,80.1,63.6,277.0,431.0,64.3,3536.0,8.2,67.0,39.0,3.0,5.0,161.7,,,,,,0.0,
523,Joe Cox,SEC,2009.0,70.3,10.2,421.0,27.8,37.6,-0.1,-10.7,0.8,56.3,66.0,62.0,60.5,61.6,185.0,331.0,55.9,2584.0,7.8,65.0,24.0,15.0,11.0,136.3,,,,,,20.0,
524,Rusty Smith,C-USA,2009.0,69.9,20.1,295.0,31.0,31.2,1.3,-4.9,3.4,67.0,30.4,61.8,15.6,29.2,145.0,253.0,57.3,1915.0,7.6,70.0,14.0,5.0,7.0,135.2,,,,,,2009.0,1.0
525,Nick Foles,PAC-12,2009.0,69.4,21.1,479.0,39.5,45.7,-3.0,-6.2,3.3,61.3,67.3,64.1,65.1,48.5,260.0,409.0,63.6,2486.0,6.1,71.0,19.0,9.0,11.0,125.6,,,,,,22.0,1.0
526,Daryll Clark,BIG10,2009.0,68.0,25.2,509.0,41.0,45.8,3.1,-9.8,1.9,62.6,76.8,71.2,79.3,32.9,232.0,381.0,60.9,3003.0,7.9,79.0,24.0,10.0,15.0,142.6,84.0,211.0,2.5,51.0,7.0,22.0,
527,Levi Brown,SUN-BELT,2009.0,67.7,57.9,613.0,70.8,85.4,-1.5,-15.1,1.9,72.7,55.8,59.9,45.0,62.4,321.0,504.0,63.7,4254.0,8.4,70.0,23.0,9.0,24.0,146.1,,,,,,22.0,1.0
528,Jimmy Clausen,ACC,2009.0,67.7,28.9,535.0,49.7,73.2,-12.1,-13.9,2.7,63.7,56.7,69.4,41.9,42.6,289.0,425.0,68.0,3722.0,8.8,88.0,28.0,4.0,24.0,161.4,,,,,,20.0,1.0
529,Scott Tolzien,BIG10,2009.0,67.2,19.9,411.0,33.8,49.7,-2.0,-13.0,-0.8,62.3,69.9,67.8,64.9,49.6,211.0,328.0,64.3,2705.0,8.2,80.0,16.0,11.0,21.0,143.0,,,,,,22.0,
530,Terrelle Pryor Sr.,BIG10,2009.0,67.0,20.1,496.0,36.8,23.4,30.0,-15.6,-1.1,60.4,79.1,60.6,83.7,59.2,167.0,295.0,56.6,2094.0,7.1,76.0,18.0,11.0,22.0,128.9,162.0,779.0,4.8,43.0,7.0,0.0,
531,Jonathan Crompton,SEC,2009.0,66.9,5.1,471.0,22.7,36.4,-1.4,-12.8,0.5,52.8,64.4,64.3,67.0,28.6,224.0,384.0,58.3,2800.0,7.3,51.0,27.0,13.0,18.0,136.0,,,,,,21.0,1.0
532,Jeremiah Masoli,PAC-12,2009.0,66.6,12.8,469.0,29.4,23.2,14.3,-7.9,-0.2,57.1,74.7,70.5,70.0,52.6,177.0,305.0,58.0,2147.0,7.0,73.0,15.0,6.0,10.0,129.5,121.0,668.0,5.5,48.0,13.0,2009.0,
533,Ryan Colburn,MTN-WEST,2009.0,66.2,29.3,398.0,43.4,46.1,6.1,-10.6,1.8,68.3,54.8,67.7,30.6,73.6,181.0,298.0,60.7,2459.0,8.3,92.0,19.0,11.0,20.0,143.7,,,,,,21.0,
534,Riley Skinner,ACC,2009.0,64.9,31.8,516.0,48.0,59.4,3.8,-15.2,-0.1,65.5,55.9,64.9,48.5,34.3,264.0,400.0,66.0,3160.0,7.9,80.0,25.0,12.0,28.0,147.0,,,,,,0.0,
535,Jake Locker,PAC-12,2009.0,63.9,14.1,553.0,34.5,39.3,15.7,-19.8,-0.8,56.6,54.5,61.2,50.7,35.7,230.0,395.0,58.2,2800.0,7.1,51.0,21.0,11.0,28.0,129.7,112.0,388.0,3.5,56.0,7.0,22.0,1.0
536,Nathan Enderle,SUN-BELT,2009.0,63.9,33.9,402.0,48.6,58.1,-2.4,-13.0,5.9,70.6,31.9,64.6,14.4,43.3,192.0,312.0,61.5,2906.0,9.3,73.0,22.0,9.0,20.0,157.3,,,,,,2009.0,1.0
537,Mike Kafka,BIG10,2009.0,63.8,26.8,700.0,54.8,65.3,6.8,-20.0,2.6,59.8,52.1,52.1,53.6,43.2,319.0,492.0,64.8,3430.0,7.0,66.0,16.0,12.0,27.0,129.3,150.0,299.0,2.0,18.0,8.0,23.0,1.0
538,Aaron Opelt,MAC,2009.0,63.5,16.1,318.0,23.6,22.3,4.9,-2.1,-1.8,62.8,27.0,49.2,22.4,26.2,154.0,261.0,59.0,1997.0,7.7,70.0,16.0,10.0,5.0,135.8,,,,,,0.0,
539,Joe Webb III,C-USA,2009.0,63.1,36.3,537.0,47.6,23.6,39.3,-15.4,0.0,66.9,40.1,54.4,35.9,35.9,162.0,271.0,59.8,2299.0,8.5,77.0,21.0,8.0,24.0,150.7,227.0,1427.0,6.3,71.0,11.0,22.0,1.0
540,Joey Elliott,BIG10,2009.0,63.0,16.5,559.0,38.2,44.8,3.4,-9.4,-0.5,57.6,52.8,54.4,56.5,31.6,267.0,433.0,61.7,3026.0,7.0,67.0,22.0,13.0,19.0,131.1,87.0,268.0,3.1,58.0,4.0,0.0,
541,Taylor Potts,BIG12,2009.0,61.8,17.8,536.0,36.8,52.4,-1.0,-13.9,-0.7,58.5,69.0,63.5,66.7,52.5,309.0,470.0,65.7,3440.0,7.3,79.0,22.0,13.0,15.0,137.1,,,,,,22.0,
542,Martevious Young,C-USA,2009.0,61.7,18.9,330.0,29.5,33.9,2.7,-5.3,-1.8,64.5,52.3,60.0,41.8,57.8,132.0,230.0,57.4,1861.0,8.1,95.0,16.0,3.0,8.0,145.7,72.0,294.0,4.1,36.0,1.0,2009.0,
543,Jarrett Brown,BIG12,2009.0,61.5,13.1,445.0,31.9,30.0,18.7,-16.3,-0.5,57.6,61.6,56.3,64.4,44.5,187.0,296.0,63.2,2144.0,7.2,58.0,11.0,9.0,20.0,130.2,118.0,452.0,3.8,36.0,6.0,0.0,
544,Todd Reesing,BIG12,2009.0,61.0,15.7,630.0,40.2,57.5,9.2,-27.1,0.4,56.4,53.7,58.7,50.4,39.9,313.0,496.0,63.1,3616.0,7.3,74.0,22.0,10.0,31.0,134.9,,,,,,19.0,
545,Ben Chappell,BIG10,2009.0,60.6,11.3,501.0,30.5,36.9,5.3,-9.9,-1.7,55.9,40.0,45.3,39.2,48.0,268.0,428.0,62.6,2941.0,6.9,56.0,17.0,15.0,15.0,126.4,,,,,,2009.0,
546,Matt Barkley,PAC-12,2009.0,60.4,1.5,435.0,19.1,30.9,-0.7,-8.9,-2.2,50.9,69.8,63.6,68.2,51.5,211.0,352.0,59.9,2735.0,7.8,75.0,15.0,14.0,17.0,131.3,,,,,,20.0,1.0
547,Chris Todd,SEC,2009.0,60.3,-1.8,407.0,14.8,34.3,-1.8,-16.0,-1.7,48.8,66.0,65.4,59.7,54.0,198.0,328.0,60.4,2612.0,8.0,93.0,22.0,6.0,21.0,145.7,,,,,,21.0,
548,B.J. Daniels,American,2009.0,59.9,15.2,425.0,29.9,25.5,22.9,-18.8,0.3,59.2,58.2,52.0,66.4,33.0,122.0,227.0,53.7,1983.0,8.7,85.0,14.0,9.0,32.0,139.5,175.0,772.0,4.4,44.0,9.0,0.0,1.0
549,Joshua Nesbitt,ACC,2009.0,59.7,-2.4,479.0,18.1,23.5,2.2,-7.6,0.0,48.7,75.2,85.1,45.5,58.5,75.0,162.0,46.3,1701.0,10.5,87.0,10.0,5.0,12.0,148.7,279.0,1037.0,3.7,39.0,18.0,0.0,
550,Jordan Jefferson,SEC,2009.0,59.6,-9.3,451.0,11.1,32.6,1.9,-22.4,-0.8,44.7,73.6,57.7,70.4,78.0,182.0,296.0,61.5,2166.0,7.3,58.0,17.0,7.0,34.0,137.2,,,,,,0.0,
551,Blaine Gabbert,SEC,2009.0,59.2,14.2,590.0,37.1,49.4,0.7,-15.2,2.4,56.2,58.9,58.2,56.0,51.4,262.0,445.0,58.9,3593.0,8.1,84.0,24.0,9.0,19.0,140.5,,,,,,2009.0,1.0
552,Nick Florence,BIG12,2009.0,58.5,-9.9,354.0,5.2,17.8,-3.1,-10.6,1.0,42.8,43.0,45.8,47.2,36.2,165.0,266.0,62.0,1786.0,6.7,59.0,6.0,9.0,19.0,119.1,,,,,,0.0,
553,Patrick Pinkney,American,2009.0,58.2,17.7,536.0,39.0,42.6,4.5,-9.3,1.2,58.5,58.5,49.7,61.3,58.8,259.0,440.0,58.9,2948.0,6.7,59.0,15.0,12.0,13.0,120.9,,,,,,22.0,
554,Kyle Parker,ACC,2009.0,58.1,6.5,467.0,24.9,26.7,5.0,-10.9,3.9,53.6,70.3,57.4,70.8,63.2,205.0,369.0,55.6,2526.0,6.8,77.0,20.0,12.0,13.0,124.4,,,,,,2009.0,
555,Tyler Sheehan,MAC,2009.0,57.4,39.2,701.0,66.6,84.4,1.8,-19.2,-0.3,64.1,41.7,47.2,38.3,51.3,373.0,575.0,64.9,4052.0,7.0,59.0,27.0,7.0,29.0,137.1,,,,,,0.0,
556,Austen Arnaud,BIG12,2009.0,56.8,10.9,479.0,30.3,26.1,11.2,-7.4,0.2,55.9,51.4,52.2,45.4,64.8,178.0,303.0,58.7,2015.0,6.7,54.0,14.0,13.0,12.0,121.3,147.0,561.0,3.8,22.0,8.0,0.0,
557,Kyle Padron,American,2009.0,56.8,19.6,281.0,27.2,37.8,4.5,-14.8,-0.2,67.4,44.1,40.6,45.1,62.5,135.0,201.0,67.2,1922.0,9.6,75.0,10.0,4.0,22.0,159.9,,,,,,0.0,
558,Jacory Harris,ACC,2009.0,55.5,-5.6,494.0,15.9,51.3,-9.5,-25.5,-0.5,47.1,70.1,63.9,66.8,58.2,242.0,406.0,59.6,3352.0,8.3,69.0,24.0,17.0,34.0,140.1,,,,,,0.0,
559,Dave Shinskie,ACC,2009.0,54.2,-2.5,354.0,12.8,18.0,0.6,-13.1,7.3,48.2,61.9,43.1,72.4,55.1,149.0,288.0,51.7,2049.0,7.1,66.0,15.0,14.0,15.0,119.0,,,,,,0.0,
560,Spencer Keith,MAC,2009.0,53.3,11.2,361.0,22.9,25.2,-1.5,-3.7,2.9,58.0,31.2,20.6,46.6,56.8,168.0,294.0,57.1,2147.0,7.3,58.0,14.0,11.0,8.0,126.7,,,,,,2009.0,
561,Tate Forcier,BIG10,2009.0,52.8,-7.1,423.0,11.7,30.5,0.4,-17.8,-1.6,45.6,48.5,49.7,45.7,55.7,165.0,281.0,58.7,2050.0,7.3,76.0,13.0,10.0,25.0,128.1,118.0,240.0,2.0,31.0,3.0,0.0,
562,Kevin Riley,PAC-12,2009.0,52.4,-12.5,495.0,8.8,30.2,-6.5,-17.8,3.0,43.5,58.8,65.2,55.4,33.7,209.0,382.0,54.7,2850.0,7.5,61.0,18.0,8.0,30.0,128.7,,,,,,22.0,
563,Stephen Garcia,SEC,2009.0,51.5,-27.7,607.0,1.2,25.4,-0.2,-24.6,0.6,38.4,61.2,47.8,73.7,40.0,239.0,432.0,55.3,2862.0,6.6,80.0,17.0,10.0,37.0,119.3,,,,,,0.0,
564,Thaddeus Lewis,ACC,2009.0,51.0,0.7,572.0,24.9,47.9,-9.7,-16.0,2.9,50.3,44.4,47.0,45.7,45.0,274.0,449.0,61.0,3330.0,7.4,74.0,20.0,8.0,25.0,134.5,,,,,,0.0,
565,Jeff Van Camp,C-USA,2009.0,51.0,12.5,245.0,18.2,22.9,3.6,-8.5,0.1,63.0,30.4,61.8,15.6,29.2,109.0,184.0,59.2,1372.0,7.5,52.0,12.0,2.0,13.0,141.2,,,,,,2009.0,
566,Diondre Borel,MTN-WEST,2009.0,50.0,10.9,571.0,31.1,43.0,3.6,-16.9,1.3,54.9,33.6,50.2,29.6,33.1,214.0,366.0,58.5,2885.0,7.9,85.0,17.0,4.0,31.0,137.8,173.0,465.0,2.7,32.0,6.0,0.0,
567,Omar Clayton,MTN-WEST,2009.0,49.8,4.1,436.0,21.4,23.0,4.6,-7.5,1.4,52.4,30.0,44.0,23.2,55.2,196.0,326.0,60.1,2230.0,6.8,75.0,13.0,12.0,12.0,123.4,76.0,238.0,3.1,28.0,3.0,21.0,
568,Brian Anderson,C-USA,2009.0,49.8,10.2,524.0,30.9,37.3,3.3,-14.8,5.1,55.1,43.4,42.6,43.6,60.0,231.0,398.0,58.0,2646.0,6.6,60.0,14.0,13.0,24.0,119.0,,,,,,0.0,
569,Chandler Harnish,MAC,2009.0,49.5,4.7,338.0,16.9,28.4,-6.2,-6.8,1.7,53.6,45.7,49.4,36.6,70.3,143.0,223.0,64.1,1670.0,7.5,45.0,11.0,6.0,10.0,137.9,89.0,229.0,2.6,29.0,2.0,22.0,1.0
570,Ross Jenkins,C-USA,2009.0,49.1,2.1,407.0,18.0,24.5,6.1,-13.6,1.1,51.4,47.0,45.2,53.2,40.0,172.0,290.0,59.3,2095.0,7.2,50.0,17.0,5.0,26.0,135.9,,,,,,0.0,
571,Adam Froman,ACC,2009.0,49.1,-5.7,275.0,6.3,18.5,-1.6,-11.4,0.7,44.7,34.2,42.1,35.5,39.5,111.0,185.0,60.0,1354.0,7.3,92.0,6.0,5.0,20.0,126.8,,,,,,0.0,
572,Ricky Dobbs,American,2009.0,48.9,1.6,446.0,20.2,15.5,15.1,-10.6,0.7,51.0,59.6,60.5,52.3,57.5,56.0,105.0,53.3,1031.0,9.8,85.0,6.0,3.0,19.0,149.0,315.0,1192.0,3.8,53.0,26.0,2009.0,
573,Jevan Snead,SEC,2009.0,48.8,-19.1,439.0,1.7,10.6,2.1,-11.2,0.3,38.9,66.2,50.2,77.1,42.4,191.0,351.0,54.4,2632.0,7.5,65.0,20.0,20.0,15.0,124.8,,,,,,2009.0,
574,Dwight Dasher,C-USA,2009.0,48.7,13.2,652.0,34.9,24.7,22.5,-11.3,-0.8,55.3,56.1,37.6,69.3,54.6,219.0,399.0,54.9,2789.0,7.0,80.0,23.0,14.0,17.0,125.6,224.0,1154.0,5.2,74.0,13.0,0.0,
575,Will Hudgens,American,2009.0,48.6,4.1,277.0,11.8,17.7,0.1,-5.9,-0.1,53.9,26.4,32.7,33.9,31.5,143.0,236.0,60.6,1544.0,6.5,62.0,7.0,6.0,11.0,120.2,,,,,,20.0,
576,Zac Robinson,BIG12,2009.0,48.3,-11.8,455.0,8.5,22.1,-5.7,-6.7,-1.2,43.3,63.7,44.9,71.8,63.4,180.0,301.0,59.8,2084.0,6.9,51.0,15.0,12.0,10.0,126.4,111.0,305.0,2.7,22.0,4.0,0.0,1.0
577,Landry Jones,BIG12,2009.0,48.1,-23.9,553.0,2.2,17.4,-11.3,-11.0,7.0,38.9,76.5,52.2,88.9,50.0,261.0,449.0,58.1,3198.0,7.1,67.0,26.0,14.0,12.0,130.8,,,,,,20.0,1.0
578,Chris Masson,SUN-BELT,2009.0,47.6,6.1,470.0,25.6,25.4,5.6,-6.4,0.9,53.4,28.7,33.1,33.3,45.1,222.0,373.0,59.5,2406.0,6.4,57.0,10.0,8.0,9.0,118.3,,,,,,0.0,
579,Ryan Lindley,MTN-WEST,2009.0,47.6,5.0,519.0,23.8,33.1,-1.3,-12.0,3.7,52.5,28.2,34.8,33.3,37.2,239.0,437.0,54.7,3054.0,7.0,78.0,23.0,16.0,15.0,123.4,,,,,,22.0,1.0
580,Brett Hodges,American,2009.0,47.2,5.5,407.0,22.8,34.0,2.4,-14.3,0.4,53.5,43.6,34.2,48.7,69.6,197.0,329.0,59.9,2438.0,7.4,76.0,17.0,13.0,24.0,131.3,,,,,,0.0,
581,Ricky Stanzi,BIG10,2009.0,46.9,-5.2,392.0,12.8,27.8,2.5,-18.8,1.5,46.6,67.2,39.1,79.9,66.6,171.0,304.0,56.3,2417.0,8.0,92.0,17.0,15.0,23.0,131.6,,,,,,21.0,1.0
582,Juice Williams,BIG10,2009.0,46.2,-17.1,390.0,1.2,15.4,-2.9,-12.0,0.7,38.8,39.0,51.4,34.3,40.7,131.0,227.0,57.7,1632.0,7.2,58.0,12.0,7.0,23.0,129.4,143.0,507.0,3.5,49.0,4.0,2009.0,
583,G.J. Kinne,American,2009.0,46.2,-1.3,524.0,20.8,36.9,11.6,-29.1,1.5,49.4,43.0,35.3,46.2,69.7,210.0,345.0,60.9,2732.0,7.9,63.0,22.0,10.0,44.0,142.6,150.0,399.0,2.7,55.0,5.0,0.0,
584,Zach Maynard,MAC,2009.0,46.1,1.1,505.0,22.5,28.4,0.2,-11.7,5.5,50.6,38.7,43.6,45.2,29.0,218.0,379.0,57.5,2694.0,7.1,67.0,18.0,15.0,17.0,125.0,87.0,300.0,3.4,42.0,1.0,0.0,
585,Ryan Griffin,American,2009.0,45.8,0.6,267.0,9.9,20.7,-1.7,-8.7,-0.4,50.6,15.6,29.2,17.7,31.5,141.0,222.0,63.5,1382.0,6.2,46.0,9.0,6.0,15.0,123.8,,,,,,0.0,
586,Trevor Vittatoe,C-USA,2009.0,44.6,6.2,507.0,26.9,48.5,-7.3,-15.8,1.3,53.2,33.0,50.4,26.9,36.3,224.0,409.0,54.8,3308.0,8.1,80.0,17.0,13.0,22.0,130.1,,,,,,0.0,
587,Grant Gregory,BIG12,2009.0,44.3,-16.8,306.0,-1.6,6.8,-2.0,-8.3,1.9,36.1,48.2,46.6,47.7,58.9,100.0,175.0,57.1,1096.0,6.3,54.0,4.0,4.0,15.0,112.7,106.0,308.0,2.9,21.0,3.0,0.0,
588,Greg Paulus,ACC,2009.0,44.2,-9.5,361.0,6.6,22.9,-2.0,-14.4,0.1,43.2,36.4,36.8,42.0,46.7,193.0,285.0,67.7,2025.0,7.1,66.0,13.0,14.0,20.0,132.6,,,,,,0.0,
589,Terrance Cain,PAC-12,2009.0,43.4,-6.3,315.0,7.8,24.2,-6.0,-8.5,-1.9,44.9,64.4,45.1,72.5,63.4,137.0,215.0,63.7,1624.0,7.6,90.0,11.0,5.0,13.0,139.4,87.0,318.0,3.7,30.0,2.0,2009.0,
590,Kevin Prince,PAC-12,2009.0,43.2,-18.8,419.0,1.1,15.4,-0.6,-14.6,0.5,38.5,56.1,32.4,69.8,69.8,173.0,308.0,56.2,2050.0,6.7,58.0,8.0,8.0,17.0,115.5,,,,,,2009.0,
591,Austyn Carta-Samuels,MTN-WEST,2009.0,43.0,-4.2,515.0,17.3,26.0,9.0,-18.5,0.4,47.9,36.8,27.7,51.5,50.1,191.0,326.0,58.6,1953.0,6.0,54.0,10.0,5.0,30.0,116.0,142.0,366.0,2.6,49.0,3.0,19.0,
592,Riley Dodge,C-USA,2009.0,42.6,3.6,436.0,22.0,27.3,0.8,-7.1,1.1,52.1,20.8,39.5,19.7,26.8,205.0,303.0,67.7,1975.0,6.5,69.0,9.0,15.0,10.0,122.3,104.0,463.0,4.5,38.0,5.0,0.0,
593,Zac Dysert,MAC,2009.0,42.6,-7.4,583.0,16.7,28.0,21.4,-33.0,0.6,46.7,16.2,24.1,28.8,16.1,247.0,401.0,61.6,2614.0,6.5,50.0,12.0,16.0,51.0,118.3,149.0,258.0,1.7,23.0,5.0,20.0,1.0
594,T.J. Yates,ACC,2009.0,41.7,-19.3,434.0,1.4,19.2,-1.2,-15.0,-1.6,38.7,65.2,39.8,85.0,34.7,214.0,355.0,60.3,2136.0,6.0,70.0,14.0,15.0,24.0,115.4,,,,,,0.0,1.0
595,Tyler Hansen,PAC-12,2009.0,41.7,-20.1,350.0,-2.7,11.4,10.1,-22.4,-2.0,35.5,37.0,24.5,62.6,34.3,129.0,231.0,55.8,1440.0,6.2,58.0,8.0,7.0,33.0,113.6,,,,,,0.0,
596,Bryant Moniz,MTN-WEST,2009.0,40.9,0.9,406.0,14.8,23.0,3.4,-11.0,-0.6,50.6,31.5,42.6,26.9,54.2,182.0,319.0,57.1,2396.0,7.5,71.0,14.0,10.0,21.0,128.4,,,,,,2009.0,
597,Tim Hiller,MAC,2009.0,40.7,-3.8,594.0,19.9,38.4,-2.0,-16.8,0.3,48.3,29.5,30.0,35.6,53.5,309.0,514.0,60.1,3258.0,6.3,73.0,23.0,13.0,24.0,123.1,,,,,,2009.0,
598,Danny Sullivan,PAC-12,2009.0,40.1,-14.3,373.0,3.1,9.3,1.5,-8.1,0.4,40.2,48.6,27.7,72.3,45.7,168.0,312.0,53.8,1939.0,6.2,80.0,10.0,9.0,13.0,110.9,,,,,,0.0,
599,Theo Scott,MAC,2009.0,39.8,-10.8,467.0,10.7,27.8,-1.9,-16.2,0.2,44.0,44.7,29.7,56.8,60.2,199.0,344.0,57.8,2369.0,6.9,65.0,20.0,11.0,19.0,128.5,,,,,,0.0,
600,Tom Savage,BIG10,2009.0,39.0,-13.9,387.0,3.7,18.0,0.6,-16.5,1.4,40.7,58.3,36.0,72.0,62.0,149.0,285.0,52.3,2211.0,7.8,81.0,14.0,7.0,35.0,128.7,,,,,,0.0,1.0
601,Zac Lee,BIG10,2009.0,38.4,-28.0,447.0,-5.4,18.8,-12.5,-11.7,-0.3,34.3,77.4,41.3,86.3,78.3,177.0,302.0,58.6,2143.0,7.1,74.0,14.0,10.0,18.0,126.9,,,,,,0.0,
602,Chris Turner,BIG10,2009.0,37.7,-25.5,419.0,-4.5,16.2,-5.5,-16.9,1.7,34.7,33.7,29.8,44.4,46.7,180.0,303.0,59.4,2069.0,6.8,67.0,10.0,10.0,25.0,121.1,,,,,,0.0,
603,Nick Fanuzzi,C-USA,2009.0,36.3,-16.0,342.0,0.3,8.7,-1.4,-8.0,0.9,38.1,13.3,18.1,19.9,43.9,162.0,270.0,60.0,1598.0,5.9,80.0,11.0,8.0,12.0,117.2,,,,,,0.0,
604,Corey Leonard,SUN-BELT,2009.0,36.2,-17.4,305.0,-2.3,13.1,-3.4,-13.7,1.7,35.6,30.1,26.4,36.6,64.7,114.0,211.0,54.0,1416.0,6.7,59.0,7.0,6.0,20.0,115.7,,,,,,0.0,
605,Paul McCall,C-USA,2009.0,35.9,-19.9,487.0,2.8,20.9,-1.4,-18.0,1.3,39.5,21.5,22.1,26.2,63.9,208.0,370.0,56.2,2343.0,6.3,65.0,14.0,8.0,26.0,117.6,,,,,,0.0,
606,Grant Stucker,MTN-WEST,2009.0,35.5,-11.7,316.0,2.9,11.6,2.8,-11.9,0.4,40.5,31.4,48.9,30.1,25.4,133.0,251.0,53.0,1874.0,7.5,57.0,12.0,12.0,15.0,121.9,,,,,,0.0,
607,Larry Smith,SEC,2009.0,34.9,-30.7,344.0,-12.9,-5.8,9.0,-15.0,-0.9,28.4,39.5,32.0,54.0,41.4,106.0,227.0,46.7,1126.0,5.0,54.0,4.0,7.0,20.0,88.0,85.0,213.0,2.5,35.0,2.0,2009.0,
608,Trey Revell,SUN-BELT,2009.0,34.5,-8.6,345.0,6.5,12.6,0.9,-7.3,0.3,43.6,33.1,35.6,42.0,34.0,121.0,210.0,57.6,1739.0,8.3,75.0,12.0,12.0,11.0,134.6,95.0,354.0,3.7,37.0,5.0,0.0,
609,Bo Levi Mitchell,American,2009.0,34.3,-7.9,305.0,6.1,15.1,-1.2,-7.6,-0.2,43.3,44.1,40.6,45.1,62.5,149.0,266.0,56.0,1725.0,6.5,96.0,12.0,10.0,11.0,117.9,,,,,,0.0,
610,Tyson Lee,SEC,2009.0,33.3,-35.0,324.0,-17.2,-1.0,-3.6,-11.8,-0.8,24.6,56.3,42.1,67.3,52.9,130.0,221.0,58.8,1444.0,6.5,69.0,4.0,14.0,19.0,107.0,,,,,,2009.0,
611,Vaughn Charlton,American,2009.0,32.9,-14.4,276.0,-1.0,8.5,-2.1,-7.3,-0.1,36.7,51.3,45.8,55.1,53.4,107.0,213.0,50.2,1390.0,6.5,75.0,10.0,11.0,13.0,110.2,,,,,,0.0,
612,Jameel Sewell,ACC,2009.0,31.6,-41.7,453.0,-17.5,5.4,-0.7,-24.0,1.8,27.8,45.0,27.0,64.0,49.3,157.0,292.0,53.8,1848.0,6.3,69.0,7.0,7.0,39.0,110.0,,,,,,0.0,
613,Donovan Porterie,MTN-WEST,2009.0,31.3,-39.9,560.0,-10.1,15.7,-6.6,-20.4,1.4,32.3,18.7,25.4,26.9,31.2,249.0,432.0,57.6,2411.0,5.6,61.0,12.0,13.0,37.0,107.7,,,,,,0.0,
614,Adam Weber,BIG10,2009.0,30.4,-45.6,483.0,-20.3,12.7,-9.5,-24.5,0.6,27.3,47.3,32.4,58.9,59.4,191.0,367.0,52.0,2582.0,7.0,62.0,13.0,15.0,38.0,114.7,,,,,,0.0,
615,Cody Hawkins,PAC-12,2009.0,29.8,-24.6,282.0,-8.1,0.3,-1.7,-7.0,0.2,28.8,37.0,24.5,62.6,34.3,121.0,239.0,50.6,1279.0,5.4,44.0,10.0,11.0,11.0,100.2,,,,,,0.0,
616,Kawaun Jakes,C-USA,2009.0,27.7,-26.2,408.0,-5.3,9.0,3.4,-18.0,0.5,33.9,13.9,27.5,13.0,47.5,148.0,244.0,60.7,1516.0,6.2,48.0,9.0,9.0,27.0,117.6,125.0,362.0,2.9,54.0,5.0,2009.0,
617,Kelly Page,MAC,2009.0,27.6,-15.3,278.0,-1.7,2.1,11.6,-16.0,0.6,36.1,20.8,14.6,34.2,60.5,109.0,207.0,52.7,1019.0,4.9,50.0,7.0,9.0,18.0,96.5,,,,,,0.0,
618,Jordan La Secla,MTN-WEST,2009.0,26.2,-24.8,400.0,-4.6,13.5,-7.1,-13.8,2.4,34.5,15.5,15.7,27.5,44.7,182.0,304.0,59.9,1926.0,6.3,80.0,10.0,11.0,26.0,116.7,,,,,,20.0,
619,Patrick Nicely,MAC,2009.0,22.9,-28.1,278.0,-12.8,1.0,-2.7,-11.3,0.2,25.9,21.6,18.7,35.1,45.3,120.0,222.0,54.1,1349.0,6.1,59.0,6.0,6.0,14.0,108.6,,,,,,2009.0,
620,Trent Steelman,INDEP,2009.0,17.9,-43.2,335.0,-25.9,3.6,-23.1,-6.4,0.2,20.8,24.7,14.7,53.6,34.6,54.0,110.0,49.1,637.0,5.8,34.0,3.0,2.0,8.0,103.1,202.0,706.0,3.5,55.0,5.0,20.0,
621,Jeff Fleming,INDEP,2009.0,11.3,-40.4,272.0,-21.0,-14.0,1.3,-9.3,0.9,17.6,11.0,6.5,30.3,51.4,87.0,172.0,50.6,789.0,4.6,34.0,4.0,12.0,16.0,82.8,79.0,280.0,3.5,36.0,3.0,20.0,
622,Andrew Luck,PAC-12,2010.0,93.8,102.0,459.0,97.5,77.2,23.2,-6.0,3.0,91.0,91.4,91.9,76.4,54.4,263.0,372.0,70.7,3338.0,9.0,81.0,32.0,8.0,6.0,170.2,,,,,,22.0,1.0
623,Cam Newton,SEC,2010.0,90.0,93.5,582.0,107.6,65.8,54.8,-14.2,1.2,84.1,84.0,92.4,57.2,50.3,185.0,280.0,66.1,2854.0,10.2,94.0,30.0,7.0,23.0,182.0,264.0,1473.0,5.6,71.0,20.0,23.0,1.0
624,Kellen Moore,MTN-WEST,2010.0,89.4,89.4,440.0,80.8,87.3,-2.8,-5.7,2.1,89.2,92.6,87.8,86.9,57.1,273.0,383.0,71.3,3845.0,10.0,83.0,35.0,6.0,6.0,182.6,,,,,,21.0,
